
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,815.0,813.0,-0.2,
    4.-Secuestro,5.0,2.0,-60.0,
    5.-Delitos contra la libertad e indemnidad sexual,370.0,494.0,33.5,
    5.1.-Agresión sexual con penetración,60.0,84.0,40.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,310.0,410.0,32.3,
    6.-Robos con violencia e intimidación,1264.0,1295.0,2.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5013.0,5854.0,16.8,
    7.1.-Robos con fuerza en domicilios,2758.0,3289.0,19.3,
    8.-Hurtos,21105.0,21395.0,1.4,
    9.-Sustracciones de vehículos,632.0,665.0,5.2,
    10.-Tráfico de drogas,259.0,291.0,12.4,
    TOTAL INFRACCIONES PENALES,61873.0,66287.0,7.1,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,2.0,-60.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,96.0,99.0,3.1,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,42.0,45.0,7.1,
    5.1.-Agresión sexual con penetración,4.0,6.0,50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,38.0,39.0,2.6,
    6.-Robos con violencia e intimidación,77.0,61.0,-20.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,532.0,440.0,-17.3,
    7.1.-Robos con fuerza en domicilios,426.0,338.0,-20.7,
    8.-Hurtos,1909.0,1758.0,-7.9,
    9.-Sustracciones de vehículos,60.0,62.0,3.3,
    10.-Tráfico de drogas,62.0,56.0,-9.7,
    TOTAL INFRACCIONES PENALES,5914.0,5890.0,-0.4,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,44.0,42.0,-4.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,18.0,39.0,116.7,
    5.1.-Agresión sexual con penetración,2.0,4.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16.0,35.0,118.8,
    6.-Robos con violencia e intimidación,91.0,106.0,16.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,62.0,70.0,12.9,
    7.1.-Robos con fuerza en domicilios,42.0,50.0,19.0,
    8.-Hurtos,625.0,639.0,2.2,
