
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,4.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,157.0,119.0,-24.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,34.0,39.0,14.7,
    5.1.-Agresión sexual con penetración,4.0,2.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,30.0,37.0,23.3,
    6.-Robos con violencia e intimidación,300.0,201.0,-33.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,68.0,70.0,2.9,
    7.1.-Robos con fuerza en domicilios,44.0,55.0,25.0,
    8.-Hurtos,778.0,576.0,-26.0,
    9.-Sustracciones de vehículos,42.0,35.0,-16.7,
    10.-Tráfico de drogas,232.0,230.0,-0.9,
    Resto de infracciones penales,2857.0,2842.0,-0.5,
    TOTAL INFRACCIONES PENALES,4470.0,4116.0,-7.9,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,9.0,2.0,-77.8,
    4.-Secuestro,2.0,10.0,400.0,
    5.-Delitos contra la libertad e indemnidad sexual,44.0,52.0,18.2,
    5.1.-Agresión sexual con penetración,7.0,9.0,28.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,37.0,43.0,16.2,
    6.-Robos con violencia e intimidación,75.0,74.0,-1.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,10.0,-47.4,
    7.1.-Robos con fuerza en domicilios,15.0,9.0,-40.0,
    8.-Hurtos,912.0,832.0,-8.8,
    9.-Sustracciones de vehículos,90.0,58.0,-35.6,
