
Balances trimestrales de criminalidad - 2018. 4º Trimestre
Indicadores de seguridad 2018 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2017,Enero-diciembre 2018,Variación % 2018/2017,
    9.-Sustracciones de vehículos,169.0,174.0,3.0,
    10.-Tráfico de drogas,134.0,140.0,4.5,
    Resto de infracciones penales,14352.0,16785.0,17.0,
    TOTAL INFRACCIONES PENALES,24827.0,27287.0,9.9,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,5.0,6.0,20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,36.0,37.0,2.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1049.0,1051.0,0.2,
    4.-Secuestro,9.0,5.0,-44.4,
    5.-Delitos contra la libertad e indemnidad sexual,500.0,659.0,31.8,
    5.1.-Agresión sexual con penetración,81.0,111.0,37.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,419.0,548.0,30.8,
    6.-Robos con violencia e intimidación,1787.0,1791.0,0.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7264.0,8002.0,10.2,
    7.1.-Robos con fuerza en domicilios,4058.0,4534.0,11.7,
    8.-Hurtos,27873.0,29378.0,5.4,
    9.-Sustracciones de vehículos,900.0,928.0,3.1,
    10.-Tráfico de drogas,332.0,367.0,10.5,
    Resto de infracciones penales,43932.0,47990.0,9.2,
    TOTAL INFRACCIONES PENALES,83687.0,90214.0,7.8,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,2.0,-66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,128.0,143.0,11.7,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,57.0,62.0,8.8,
    5.1.-Agresión sexual con penetración,7.0,7.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,50.0,55.0,10.0,
    6.-Robos con violencia e intimidación,104.0,78.0,-25.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,722.0,601.0,-16.8,
    7.1.-Robos con fuerza en domicilios,587.0,463.0,-21.1,
    8.-Hurtos,2563.0,2342.0,-8.6,
    9.-Sustracciones de vehículos,89.0,79.0,-11.2,
    10.-Tráfico de drogas,80.0,73.0,-8.8,
    Resto de infracciones penales,4128.0,4629.0,12.1,
    TOTAL INFRACCIONES PENALES,7877.0,8010.0,1.7,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,1.0,-85.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,58.0,51.0,-12.1,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,25.0,50.0,100.0,
    5.1.-Agresión sexual con penetración,5.0,5.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,20.0,45.0,125.0,
    6.-Robos con violencia e intimidación,131.0,150.0,14.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,83.0,88.0,6.0,
    7.1.-Robos con fuerza en domicilios,57.0,60.0,5.3,
    8.-Hurtos,810.0,864.0,6.7,
    9.-Sustracciones de vehículos,216.0,248.0,14.8,
    10.-Tráfico de drogas,227.0,166.0,-26.9,
    Resto de infracciones penales,2944.0,3054.0,3.7,
    TOTAL INFRACCIONES PENALES,4503.0,4673.0,3.8,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,1.0,-87.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,117.0,141.0,20.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,29.0,27.0,-6.9,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,25.0,-13.8,
    6.-Robos con violencia e intimidación,356.0,333.0,-6.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,142.0,134.0,-5.6,
    7.1.-Robos con fuerza en domicilios,99.0,91.0,-8.1,
    8.-Hurtos,1154.0,1229.0,6.5,
    9.-Sustracciones de vehículos,113.0,88.0,-22.1,
    10.-Tráfico de drogas,64.0,48.0,-25.0,
    Resto de infracciones penales,2761.0,3464.0,25.5,
    TOTAL INFRACCIONES PENALES,4744.0,5465.0,15.2,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,3.0,-25.0,
    4.-Secuestro,9.0,6.0,-33.3,
    5.-Delitos contra la libertad e indemnidad sexual,61.0,42.0,-31.1,
    5.1.-Agresión sexual con penetración,12.0,6.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,49.0,36.0,-26.5,
    6.-Robos con violencia e intimidación,246.0,264.0,7.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,31.0,40.0,29.0,
    7.1.-Robos con fuerza en domicilios,20.0,26.0,30.0,
    8.-Hurtos,3091.0,3023.0,-2.2,
    9.-Sustracciones de vehículos,95.0,81.0,-14.7,
    10.-Tráfico de drogas,12.0,11.0,-8.3,
    Resto de infracciones penales,17995.0,16052.0,-10.8,
    TOTAL INFRACCIONES PENALES,21544.0,19522.0,-9.4,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                            
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                           
                     
 (***) Los datos de 2018 están pendientes de consolidar.
Fuente: Ministerio del Interior
