
Balances trimestrales de criminalidad - 2018. 1er Trimestre
Indicadores de seguridad 2018 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2017,Enero-marzo 2018,Variación % 2018/2017,
    6.-Robos con violencia e intimidación,95.0,81.0,-14.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,45.0,33.0,-26.7,
    7.1.-Robos con fuerza en domicilios,30.0,17.0,-43.3,
    8.-Hurtos,292.0,274.0,-6.2,
    9.-Sustracciones de vehículos,28.0,23.0,-17.9,
    10.-Tráfico de drogas,15.0,16.0,6.7,
    TOTAL INFRACCIONES PENALES,1169.0,1161.0,-0.7,
FUERA DE ESPAÑA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,0.0,0.0,
    4.-Secuestro,3.0,1.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,20.0,9.0,-55.0,
    5.1.-Agresión sexual con penetración,5.0,1.0,-80.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,15.0,8.0,-46.7,
    6.-Robos con violencia e intimidación,61.0,59.0,-3.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4.0,8.0,100.0,
    7.1.-Robos con fuerza en domicilios,3.0,7.0,133.3,
    8.-Hurtos,661.0,666.0,0.8,
    9.-Sustracciones de vehículos,20.0,24.0,20.0,
    10.-Tráfico de drogas,2.0,2.0,0.0,
    TOTAL INFRACCIONES PENALES,4325.0,5972.0,38.1,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                   
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                  
            
Fuente: Ministerio del Interior
