
Balance de criminalidad. 2020 - 1er Trimestre - CCAA
Indicadores de seguridad 2020 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2019,Enero-marzo 2020,Variación % 2020/2019,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,6.0,7.0,16.7,
    6.-Robos con violencia e intimidación,42.0,21.0,-50.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,16.0,24.0,50.0,
    7.1.-Robos con fuerza en domicilios,7.0,16.0,128.6,
    8.-Hurtos,210.0,187.0,-11.0,
    9.-Sustracciones de vehículos,52.0,36.0,-30.8,
    10.-Tráfico de drogas,63.0,115.0,82.5,
    Resto de infracciones penales,718.0,723.0,0.7,
    TOTAL INFRACCIONES PENALES,1128.0,1135.0,0.6,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,34.0,30.0,-11.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,9.0,5.0,-44.4,
    5.1.-Agresión sexual con penetración,2.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7.0,5.0,-28.6,
    6.-Robos con violencia e intimidación,82.0,109.0,32.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,45.0,22.0,-51.1,
    7.1.-Robos con fuerza en domicilios,30.0,17.0,-43.3,
    8.-Hurtos,289.0,246.0,-14.9,
    9.-Sustracciones de vehículos,17.0,15.0,-11.8,
    10.-Tráfico de drogas,17.0,39.0,129.4,
    Resto de infracciones penales,836.0,812.0,-2.9,
    TOTAL INFRACCIONES PENALES,1330.0,1279.0,-3.8,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,0.0,-100.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,19.0,7.0,-63.2,
    5.1.-Agresión sexual con penetración,2.0,1.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,17.0,6.0,-64.7,
    6.-Robos con violencia e intimidación,67.0,42.0,-37.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,8.0,33.3,
    7.1.-Robos con fuerza en domicilios,4.0,6.0,50.0,
    8.-Hurtos,685.0,573.0,-16.4,
    9.-Sustracciones de vehículos,19.0,23.0,21.1,
    10.-Tráfico de drogas,1.0,3.0,200.0,
    Resto de infracciones penales,2793.0,2657.0,-4.9,
    TOTAL INFRACCIONES PENALES,3594.0,3313.0,-7.8,
Notas:
NIPO 126-20-005-0 
  
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.              
                                  
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
