
Balance de criminalidad. 2022 - 2º Trimestre - CCAA
Indicadores de seguridad 2022 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2021,Enero-junio 2022,Variación % 2022/2021,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,28.0,33.0,17.9,
    7.1.-Robos con fuerza en domicilios,22.0,20.0,-9.1,
    8.-Hurtos,306.0,346.0,13.1,
    9.-Sustracciones de vehículos,14.0,36.0,157.1,
    10.-Tráfico de drogas,172.0,30.0,-82.6,
    Resto de infracciones penales,1329.0,1550.0,16.6,
    TOTAL INFRACCIONES PENALES,2020.0,2108.0,4.4,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,2.0,100.0,
    4.-Secuestro,4.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,29.0,43.0,48.3,
    5.1.-Agresión sexual con penetración,6.0,9.0,50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,23.0,34.0,47.8,
    6.-Robos con violencia e intimidación,18.0,88.0,388.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6.0,12.0,100.0,
    7.1.-Robos con fuerza en domicilios,5.0,7.0,40.0,
    8.-Hurtos,184.0,847.0,360.3,
    9.-Sustracciones de vehículos,25.0,24.0,-4.0,
    10.-Tráfico de drogas,11.0,10.0,-9.1,
    Resto de infracciones penales,2909.0,3349.0,15.1,
    TOTAL INFRACCIONES PENALES,3186.0,4375.0,37.3,
Notas:
NIPO 126-20-005-0                
                 
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.                             
                                                 
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).      
       
 (***) Datos de 2022 pendientes de consolidar.
Fuente: Ministerio del Interior
